Order,Taxonomy Classification,Importances
0,Bacteria Spirochaetes Spirochaetes Spirochaetales Spirochaetaceae Treponema,0.015518414401654633
1,Bacteria Firmicutes Clostridia Clostridiales Peptostreptococcaceae Filifactor,0.05390141903223879
2,Bacteria Actinobacteria Actinobacteria Actinomycetales Actinomycetaceae Actinomyces,0.013175212595069109
3,Bacteria Tenericutes Mollicutes Mycoplasmatales Mycoplasmataceae Mycoplasma,0.041875771633421634
4,Bacteria Firmicutes Clostridia Clostridiales Lachnospiraceae Oribacterium,0.013650887859400057
5,Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae Porphyromonas,0.005364794570162329
6,Bacteria Spirochaetes Spirochaetes Spirochaetales Spirochaetaceae Treponema amylovorum,0.014053046998171843
7,Bacteria Synergistetes Synergistia Synergistales Dethiosulfovibrionaceae TG5,0.0073315985417637146
8,Bacteria Firmicutes Clostridia Clostridiales Mogibacteriaceae,0.02685400360435216
9,Bacteria Proteobacteria Gammaproteobacteria Pasteurellales Pasteurellaceae Haemophilus parainfluenzae,0.012781331859737139
10,Bacteria Firmicutes Clostridia Clostridiales,0.04223336047494766
11,Bacteria Proteobacteria Epsilonproteobacteria Campylobacterales Campylobacteraceae Campylobacter,0.08498714475539941
12,Bacteria Actinobacteria Actinobacteria Actinomycetales,0.01204097576676468
13,Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae Prevotella intermedia,0.002880037206688327
14,Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae Porphyromonas endodontalis,0.03448000902249831
15,Bacteria Bacteroidetes Bacteroidia Bacteroidales,0.006531288304532956
16,Bacteria Firmicutes Clostridia Clostridiales Lachnospiraceae,0.011095777081733671
17,Bacteria Firmicutes Clostridia Clostridiales Peptostreptococcaceae Peptostreptococcus,0.00971255383931843
18,Bacteria Firmicutes Clostridia Clostridiales Tissierellaceae,0.008376469828025212
19,Bacteria Firmicutes Clostridia Clostridiales Tissierellaceae Parvimonas,0.005416998136032805
20,Bacteria Proteobacteria Betaproteobacteria Neisseriales Neisseriaceae Neisseria subflava,0.016489076066722133
21,Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae Prevotella nanceiensis,0.027126518985788002
22,Bacteria Firmicutes Clostridia Clostridiales Mogibacteriaceae Mogibacterium,0.4066995790505024
23,Bacteria Proteobacteria Deltaproteobacteria Desulfobacterales Desulfobulbaceae Desulfobulbus,0.037275791121107106
24,Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae Tannerella,0.003163471513696477
25,Bacteria Spirochaetes Spirochaetes Spirochaetales Spirochaetaceae Treponema socranskii,0.03491317394580173
26,Bacteria Firmicutes Clostridia Clostridiales Acidaminobacteraceae,0.05207129380446907
