Order,Taxonomy Classification,Importances
0,Bacteria Actinobacteria Actinobacteria Actinomycetales Actinomycetaceae Actinomyces,0.01703091076483563
1,Bacteria Firmicutes Clostridia Clostridiales Peptostreptococcaceae Filifactor,0.028628460674878065
2,Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae Prevotella intermedia,0.03140761957044326
3,Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae Porphyromonas,0.03488113476890314
4,Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae Porphyromonas endodontalis,0.03538306656428921
5,Bacteria Spirochaetes Spirochaetes Spirochaetales Spirochaetaceae Treponema amylovorum,0.038672108530872294
6,Bacteria Spirochaetes Spirochaetes Spirochaetales Spirochaetaceae Treponema,0.03896215615382719
7,Bacteria Firmicutes Clostridia Clostridiales Mogibacteriaceae,0.044589335747511734
8,Bacteria Bacteroidetes Bacteroidia Bacteroidales,0.046058702915828996
9,Bacteria Proteobacteria Epsilonproteobacteria Campylobacterales Campylobacteraceae Campylobacter,0.049447217415646096
10,Bacteria Synergistetes Synergistia Synergistales Dethiosulfovibrionaceae TG5,0.050739855254238686
11,Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae Tannerella,0.07237355446643938
12,Bacteria Tenericutes Mollicutes Mycoplasmatales Mycoplasmataceae Mycoplasma,0.07273019878053422
13,Bacteria Actinobacteria Actinobacteria Actinomycetales Corynebacteriaceae Corynebacterium durum,0.1493288396019592
14,Bacteria Firmicutes Clostridia Clostridiales Acidaminobacteraceae,0.2897668387897927
