Order,Taxonomy Classification,Importances
0,Bacteria Actinobacteriota Actinobacteria Actinomycetales Actinomycetaceae Actinomyces,0.012945505703876552
1,Bacteria Actinobacteriota Actinobacteria Actinomycetales Actinomycetaceae Actinomyces Schaalia odontolytica,0.01483146818784845
2,Bacteria Bacteroidota Bacteroidia Bacteroidales Prevotellaceae Prevotella Prevotella intermedia,0.016409717419062424
3,Bacteria Firmicutes Clostridia Peptostreptococcales-Tissierellales Peptostreptococcaceae Filifactor Filifactor alocis,0.017715469601623523
4,Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Oribacterium,0.0182279448380252
5,Bacteria Bacteroidota Bacteroidia Bacteroidales Tannerellaceae Tannerella Tannerella forsythia,0.022114274615729068
6,Bacteria Bacteroidota Bacteroidia Bacteroidales Porphyromonadaceae Porphyromonas,0.022962989295219716
7,Bacteria Spirochaetota Spirochaetia Spirochaetales Spirochaetaceae Treponema Treponema denticola,0.02594971243973025
8,Bacteria Bacteroidota Bacteroidia Bacteroidales Porphyromonadaceae Porphyromonas Porphyromonas gingivalis,0.026801724029521152
9,Bacteria Actinobacteriota Actinobacteria Actinomycetales Actinomycetaceae Actinomyces Actinomyces graevenitzii,0.027844370549456147
10,Bacteria Spirochaetota Spirochaetia Spirochaetales Spirochaetaceae Treponema uncultured bacterium,0.028176578352262113
11,Bacteria Spirochaetota Spirochaetia Spirochaetales Spirochaetaceae Treponema Treponema medium,0.029307500356325216
12,Bacteria Spirochaetota Spirochaetia Spirochaetales Spirochaetaceae Treponema Treponema maltophilum,0.0330307414299068
13,Bacteria Bacteroidota Bacteroidia Bacteroidales Prevotellaceae,0.035433257099296185
14,Bacteria Campilobacterota Campylobacteria Campylobacterales Campylobacteraceae Campylobacter Campylobacter showae,0.045795280266258155
15,Bacteria Firmicutes Clostridia Peptostreptococcales-Tissierellales Anaerovoracaceae Eubacterium nodatum group Eubacterium nodatum,0.0523022341592361
16,Bacteria Actinobacteriota Actinobacteria Corynebacteriales Corynebacteriaceae Corynebacterium Corynebacterium durum,0.0539170951526226
17,Bacteria Synergistota Synergistia Synergistales Synergistaceae Fretibacterium,0.05805089098293928
18,Bacteria Firmicutes Clostridia Lachnospirales Defluviitaleaceae Defluviitaleaceae UCG-011 Lachnospiraceae bacterium,0.05844201887575999
19,Bacteria Firmicutes Bacilli Mycoplasmatales Mycoplasmataceae Mycoplasma Metamycoplasma faucium,0.07143963350528947
20,Bacteria Firmicutes Clostridia Peptostreptococcales-Tissierellales Anaerovoracaceae Eubacterium brachy group Eubacterium brachy,0.07571596825743382
21,Bacteria Spirochaetota Spirochaetia Spirochaetales Spirochaetaceae Treponema,0.09830435718569176
22,Bacteria Firmicutes Clostridia Peptostreptococcales-Tissierellales Anaerovoracaceae Eubacterium saphenum group Eubacterium saphenum,0.15428126769688613
